;;;;;
RUT CLIENTE;NOMBRE CLIENTE;NOMBRE OBRA;ID OBRA;CORREO CONTACTO;DIRECCION
79624430-5;Schultz Ingeniería y Maquinarias Ltda;CEPAL;27895;alonsog1@vtr.net;Dag Hammarskjold  3477
76119788-6;Constructora D y V Corp. Ltda.;1 AVENIDA;23192;;MARTIN DE ZAMORA 3690
76131379-7;EQUIPOS Y TRANSPORTES LTDA.;1 AVENIDA;23225;carlos.perez@constructoradv.cl;1 AVENIDA 1252
96538850-8;Sociedad Inmobiliaria Piedra Roja S.A.;14 Cia de Bomberos;22656;constructorapiedraroja@gmail.com;Av. Tobalaba 451
78616630-6;CONSTRUCTORA LAS TERRAZAS S.A;2 Etapa Casa Idahue;24041;bodega.pmontt@enaco.cl;Volcan Choshuenco 4974
12930512-6;CLAUDIO BAEZA CARRASCO;2° ETAPA TRABAJOS PROLESUR;23778;baeza.cc@gmail.com;NUEVA NUEVE S/N
76107451-2;ABN CONSTRUCCION SOCIEDAD DE RESPONSABILIDAD LTDA.;2a. ETAPA EDIFICIO MIRADOR;24228;abenavides@abnconstruccion.cl;LOS ALPES 100
76199835-8;Constr. Valfe y cia ltda;2da Cia de Bomberos San Ignacio Quiriquina;23977;mperez@teinco.cl;bomberos de San Ignacio s/n
6828465-1;FELIPE ALFONSO REITZE GARRETON;2º etapa condominio las Encinas;26808;felipereitze@gmail.com;CAMINO COSTERO TOTORAL S/N
76525290-3;EBCOSUR S.A.;2º etapa Megacentro Puerto Montt;24090;patricio.lastra@ebcosur.cl;camino Pargua Km1025 S/N
96884560-8;COMBUSTIBLE SERVICIO DE TRANSPORTE Y CARGO S.A;2º Etapa Vivienda Oteiza;23795;marco.arrey@gmail.com;Camino Totoral S/N
5335926-4;CARLOS ABELL SOFFIA;3ra. COMPAnIA DE BOMBEROS DE MELIPILLA;22035;mbaeza.tierra@gmail.com;AVENIDA VICUnA MACKENNA 2140
76050939-6;ARQUITECTURA Y CONSTRUCCION ESFERA GROUP;ABCDIN;22073;c.fernandez.quiroga@gmail.com;ABCDIN S/N
78331390-1;INGENIERIA MAQUINARIA Y CONSTRUCCION LTDA.;ACCESO SUR PUENTE CHACAO;23558;lvelizrobles@gmail.com;Ramon Freire 20
76202259-1;CONSTRUCTORA CONSTRUCTIVA LTDA.;ACCESORIOS MURO MUNITA;24127;aperez@constructiva.cl;MONSENÑOR RAMON MUNITA S/N
76354976-3;SOVASA LTDA;ACCESORIOS PARA LOSA;28076;;Vicuña Mackena  4230
76215876-0;INDEPRO-IP S.A;ACIDUCTO CODELCO;23008;;CAMINO A RODOMIRO TOMIC SECTOR SULFURO S/N
99541460-0;Termika Camval S.A.;Activo Fijo;22932;marisoldiaz@dom.cl;Avenida Fernandez Albano 424
96990200-1;Maestra construcciones s.a;ADICIONAL ALTO LA PALOMA II Y III;23630;;AV LAS CONDES 14157
